objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
Bonsai,366994,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,115343716,6.49453,7.17439,1.8041,1334,6462,thing,Bonsai,1,4,40,40,40,2023,"1,2,3,4",3,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Books of Time,372631,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,115343720,6.0906,7.10024,2.5873,2678,3347,thing,Books of Time,1,4,60,60,45,2023,"1,2,3",2,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Boonlake,343905,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,85162798,7.01234,7.61583,3.8041,480,10971,thing,Boonlake,1,4,160,160,80,2021,"1,2,3,4",3,14+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Boonlake: Artifacts,398052,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126314636,5.73882,7.71491,3.7778,0,1707,thing,Boonlake: Artifacts,1,4,160,160,80,2023,3,"2,3",,,,,,,,expansion,,,,,,,,,,,,,,,
BOOoop.,383579,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,115343783,6.0628,7.53515,1.4667,2822,3032,thing,BOOoop.,2,2,35,35,25,2023,2,2,8+,,,,,,,standalone,,,,,,,,,,,,,,,
Bora Bora,127060,0,0,0,0,0,0,1,1,0,0,0,3,,,,,,73223095,7.17239,7.55901,3.7247,325,13059,thing,Bora Bora,2,4,120,120,60,2013,"2,3,4",4,14+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Bosk,252556,0,0,0,0,0,0,0,1,0,0,0,3,,,,,,91132081,6.12944,6.81915,2.037,2502,4935,thing,Bosk,2,4,40,40,20,2019,"2,3,4",3,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
The Boss,85005,7,0,0,1,0,0,0,0,0,0,0,3,,,,,,72632452,6.18103,6.78461,1.7871,2284,3105,thing,The Boss,2,6,40,40,40,2010,"2,3,4",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
The Boss: 5-6 Player Expansion,128478,7.2,0,0,1,0,0,0,0,0,0,0,3,,,,,,72632453,5.58777,7.30916,2.1111,0,304,thing,The Boss: 5-6 Player Expansion,2,6,40,40,40,2012,"3,4,5,6",5,12+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
Bot Factory,328124,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,108119848,6.32935,7.35721,2.7625,1759,4382,thing,Bot Factory,1,4,60,60,30,2023,"1,2,3,4",3,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Bot Factory,328124,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,115343623,6.32935,7.35721,2.7625,1759,4382,thing,Bot Factory,1,4,60,60,30,2023,"1,2,3,4",3,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Bottle Imp,413364,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126319801,5.87721,7.11601,2.2,4007,2058,thing,Bottle Imp,2,6,30,30,15,2024,"3,4",3,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
The Bottle Imp,619,6,0,0,1,0,0,0,0,1,0,0,3,,,,,,126319803,6.29193,6.7367,1.8669,1872,6271,thing,The Bottle Imp,2,4,30,30,30,1995,"3,4",3,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Bottom of the 9th,166286,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,85991621,6.10981,6.70433,1.7468,2592,5727,thing,Bottom of the 9th,1,2,20,20,5,2015,"1,2",2,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Brass: Birmingham,224517,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,73086901,8.39474,8.56713,3.863,1,81849,thing,Brass: Birmingham,2,4,120,120,60,2018,"2,3,4","3,4",14+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Brass: Lancashire,28720,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,80727792,7.95817,8.19691,3.8474,23,35463,thing,Brass: Lancashire,2,4,120,120,60,2007,"2,3,4",4,14+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Brazil: Imperial,249277,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,88063784,6.67576,7.52099,3,952,7225,thing,Brazil: Imperial,1,4,100,100,100,2021,"2,3,4",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Break the Code,227466,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,83050888,6.20918,7.04931,1.7143,2175,3455,thing,Break the Code,2,4,15,15,15,2017,"2,3,4",2,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Break the Cube,354669,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126554004,5.70579,7.11023,1.625,6111,887,thing,Break the Cube,2,4,25,25,15,2022,"2,3,4",2,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Breakers,431098,0,1,0,1,0,0,0,0,1,0,0,3,,,,,,136042133,5.51241,9.06275,3,21541,6,thing,Breakers,2,4,60,60,30,2026,4,4,12+,,,,,,,standalone,,,,,,,,,,,,,,,
Brian Boru: High King of Ireland,337765,10,0,0,1,0,0,0,0,0,0,0,3,,,,,,91768942,6.82479,7.46712,2.5616,718,6706,thing,Brian Boru: High King of Ireland,3,5,90,90,60,2021,"3,4,5",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Bricolage Heads,406231,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126323109,5.64373,7.49268,3.3333,7598,476,thing,Bricolage Heads,2,2,60,60,60,2023,2,2,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Brigands,368230,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,115344325,5.55625,6.96952,1.8,12399,254,thing,Brigands,2,6,50,50,25,2023,"4,5,6",5,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Briscola,11733,0,0,0,1,0,0,0,0,1,0,0,3,,,,,,126325916,5.6976,6.44808,1.5,6277,686,thing,Briscola,2,6,30,30,30,1800,"2,3,4",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Bristol 1350,308989,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,85517800,6.18071,6.89571,1.625,2287,7825,thing,Bristol 1350,1,9,40,40,20,2021,"4,5,6,7,8,9","6,7",12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Brokies,383412,0,0,0,0,0,0,0,0,0,1,0,3,,,,,,129108043,5.54651,6.74742,2,13550,218,thing,Brokies,2,6,30,30,20,2023,"2,3,4",3,,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Broom Service,172308,7,0,0,0,0,0,1,1,0,0,0,1,,,,,,76101792,6.86124,7.16991,2.3879,664,17794,thing,Broom Service,2,5,75,75,30,2015,"2,3,4,5",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Bruges,136888,7,0,0,0,0,0,0,0,1,0,0,3,,,,,,72616963,7.10274,7.42566,2.753,385,12486,thing,Bruges,2,4,60,60,60,2013,"2,3,4",3,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Brügge: Die Haustiere,166504,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,72616970,5.72978,7.15501,2.6364,0,1526,thing,Brügge: Die Haustiere,2,5,60,60,60,2014,"2,3,4,5","3,4",10+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
Brujas del Sabado,334292,0,1,0,1,0,0,0,0,0,0,0,3,,,,,,132477113,0,6.17692,0,0,56,thing,Brujas del Sabado,3,5,30,30,15,2021,3,3,,,,,,,,standalone,,,,,,,,,,,,,,,
BRUTUS!,428580,0,2,0,1,0,0,0,0,1,0,0,3,,,,,,138274773,0,7.67647,0,0,16,thing,BRUTUS!,3,6,25,25,15,2025,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Bruxelles 1893,144592,0,0,0,0,0,0,1,1,0,0,0,1,,,,,,74118127,6.9822,7.5902,3.5829,519,6494,thing,Bruxelles 1893,2,5,125,125,50,2013,"2,3,4,5",4,14+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Bruxelles 1893: Belle ?poque,345155,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,126315194,6.22512,7.92176,3.3421,2123,2683,thing,Bruxelles 1893: Belle ?poque,2,5,120,120,45,2023,"2,3,4,5",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
BUBBLE GUM,434246,0,2,0,1,0,0,0,0,0,0,0,3,,,,,,126316644,5.58134,7.41796,1.6667,10385,203,thing,BUBBLE GUM,2,2,15,15,15,2024,2,2,,,,,,,,standalone,,,,,,,,,,,,,,,
Buddha,297639,0,0,0,0,0,0,1,1,0,0,0,3,,,,,,126320024,0,9,2.3333,0,6,thing,Buddha,3,6,60,60,30,2020,"4,5",5,,,,,,,,standalone,,,,,,,,,,,,,,,
Bug Council of Backyardia,337255,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126319565,5.65997,7.08548,2.0909,7157,557,thing,Bug Council of Backyardia,1,5,30,30,30,2022,"2,3,4",3,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Builder's High,387148,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126323279,5.54784,6.78617,1.6667,13366,229,thing,Builder's High,2,5,30,30,30,2023,"2,3,4,5",4,,,,,,,,standalone,,,,,,,,,,,,,,,
Building Sword as Soon as Possible,296575,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,135099395,0,7.01304,1,0,56,thing,Building Sword as Soon as Possible,2,4,15,15,15,2019,"1,2,3,4",4,,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Bulbous,421104,0,0,0,1,0,0,0,0,1,0,0,3,,,,,,126320028,0,6.21429,2,0,4,thing,Bulbous,2,4,40,40,20,2024,"2,3,4","2,3,4",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
"Bullet??,343844""",0,0,0,0,0,0,0,0,1,0,0,3,,,,,,102740150,6.37454,7.93824,2.087,1639,3861,thing,"Bullet??,1""",4,15,15,15,2022,"1,2,3,4","1,2",10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,,,
Bullet?��?,307305,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,102740141,6.856,7.60715,2.1579,676,7800,thing,Bullet?��?,1,4,20,20,10,2021,"1,2,3,4",1,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Bumúntú,201006,7.2,0,0,0,0,0,0,0,1,0,0,3,,,,,,73728229,5.96044,6.93967,1.8182,3402,1941,thing,Bumúntú,2,5,40,40,20,2019,"2,3,4,5",4,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Burn Rate,3341,5,0,0,0,0,0,0,0,1,0,0,3,,,,,,73688639,5.61341,6.09413,1.569,8656,994,thing,Burn Rate,2,4,45,45,45,2002,"2,3,4","3,4",10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
BUS,164159,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,72622765,5.67857,6.24817,1.3667,6720,2888,thing,BUS,2,3,20,20,20,2015,"2,3",3,6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Bus,552,0,1,0,0,0,0,0,0,0,1,0,3,,,,,,132029178,7.02335,7.70491,3.0443,466,7424,thing,Bus,3,5,120,120,120,1999,"3,4,5",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Butterfly Garden,116954,0,1,0,1,0,0,0,0,0,0,0,3,,,,,,136027240,6.31599,6.8526,1.4667,1794,5709,thing,Butterfly Garden,2,4,30,30,30,2012,"2,3,4",4,6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Butterfly Kingdom,445056,0,5,0,1,0,0,0,0,0,0,0,3,,,,,,133265738,0,6.33095,0,0,44,thing,Butterfly Kingdom,3,5,40,40,20,2025,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Caesar!: Seize Rome in 20 Minutes!,338957,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86900347,6.76545,7.51119,1.9426,805,7342,thing,Caesar!: Seize Rome in 20 Minutes!,1,2,20,20,20,2021,"1,2",2,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Café,284936,8,1,0,1,0,0,0,0,0,0,0,3,,,,,,83135302,6.53026,7.15783,2.0635,1246,8021,thing,Café,1,4,45,45,20,2020,"1,2,3,4",2,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Calçada,385543,7,1,0,1,0,0,0,0,0,0,0,3,,,,,,142438714,5.54596,6.98377,2,13621,148,thing,Calçada,2,4,50,50,50,2024,"2,3,4",2,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Caldera Park,367047,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,103372784,6.0364,7.23006,1.9615,2950,2344,thing,Caldera Park,1,4,40,40,30,2022,"1,2,3,4",2,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Calimala,199383,10,0,0,1,0,0,0,0,0,0,0,3,,,,,,88104061,6.51455,7.29142,2.7957,1280,4142,thing,Calimala,2,5,75,75,75,2017,"3,4,5",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Call of Yeti,434136,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,128153559,5.51434,6.50781,1.5,20929,97,thing,Call of Yeti,3,5,30,30,20,2024,"3,4,5",4,,,,,,,,standalone,,,,,,,,,,,,,,,
Calypso,17103,0,0,0,1,0,0,0,0,1,0,0,3,,,,,,126325933,5.49459,5.16111,2,26642,53,thing,Calypso,3,4,60,60,60,1955,4,4,10,,,,,,,standalone,,,,,,,,,,,,,,,
Camel Up,153938,8,0,0,0,0,0,0,0,1,0,0,3,,,,,,72608777,6.87812,7.03036,1.5025,640,37554,thing,Camel Up,2,8,30,30,20,2014,"3,4,5,6,7","4,5",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Camel Up (Second Edition),260605,8,0,0,0,0,0,0,0,0,0,0,3,,,,,,141722669,7.24831,7.54322,1.5106,266,30055,thing,Camel Up (Second Edition),3,8,45,45,30,2018,"3,4,5,6,7,8","5,6",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Camel Up: Supercup,172380,7,0,0,0,0,0,0,0,1,0,0,3,,,,,,72608787,6.44619,7.32214,1.7294,0,9193,thing,Camel Up: Supercup,2,10,45,45,30,2015,"3,4,5,6,7,8",6,8+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
A Camera for Ghosts,459015,0,1,0,1,0,0,0,0,0,0,0,3,,,,,,139312773,0,7.25,0,0,4,thing,A Camera for Ghosts,3,7,30,30,20,2025,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Campaign Trail,129294,0,0,0,0,0,0,1,1,0,0,0,3,,,,,,75912651,6.02843,7.60579,2.8182,2984,1670,thing,Campaign Trail,1,6,115,115,115,2019,"1,2,3,4,5,6",3,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Canasta,17104,0,0,0,1,0,0,0,0,1,0,0,3,,,,,,126810275,5.84837,6.43627,2.1364,4264,2187,thing,Canasta,2,6,45,45,45,1939,"2,3,4",4,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
"Candy, Spiders, Leopards",420509,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126319448,5.52145,6.97381,1,18690,103,thing,"Candy, Spiders, Leopards",2,5,45,45,25,2024,4,4,,,,,,,,standalone,,,,,,,,,,,,,,,
Canopy,295607,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,95635870,6.56886,7.24082,2.021,1157,9863,thing,Canopy,1,4,30,30,30,2021,"1,2",2,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Cape May,281248,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,108147426,5.99255,7.20744,2.4359,3200,1942,thing,Cape May,1,4,120,120,60,2021,"1,2,3,4",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Capital Lux,205046,0,1,0,1,0,0,0,0,0,0,0,3,,,,,,138236347,6.222,6.96094,1.9851,2134,3108,thing,Capital Lux,2,4,30,30,30,2016,"2,3,4",3,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Capital Lux 2: Generations,299607,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,138236335,6.15079,7.5557,2.2286,2403,1862,thing,Capital Lux 2: Generations,1,4,40,40,15,2021,"1,2,3,4",3,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Capital Lux 2: Pocket,316343,0,0,0,1,0,0,0,0,1,0,0,3,,,,,,138236341,5.75892,7.50462,2.125,5259,639,thing,Capital Lux 2: Pocket,2,4,40,40,25,2021,"2,3,4",3,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Captain Sonar,171131,7,0,0,0,0,0,0,0,0,0,0,3,,,,,,141722454,7.28802,7.50065,2.1967,243,33563,thing,Captain Sonar,2,8,60,60,45,2016,"6,7,8",8,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Captains of Industry,131449,0,0,0,0,0,0,1,1,0,0,0,3,,,,,,73550108,5.81764,7.05359,3.7917,4550,1277,thing,Captains of Industry,3,5,150,150,90,2015,"3,4,5",5,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Capybara Crush,436146,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,142953460,5.54852,7.03368,1.75,13270,380,thing,Capybara Crush,1,4,45,45,20,2026,"2,3,4",3,8,,,,,,,standalone,,,,,,,,,,,,,,,
Caracas,423683,0,1,0,1,0,0,0,0,0,0,0,3,,,,,,127320015,5.56887,6.70347,2,11294,220,thing,Caracas,1,5,40,40,20,2024,"2,3","2,3",,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Caravanserai,405542,2,1,0,1,0,0,0,0,0,0,0,3,,,,,,142616216,5.53687,7.37627,3,15050,80,thing,Caravanserai,2,4,75,75,75,2024,"3,4",3,,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Carcassonne,822,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126553488,7.29818,7.41579,1.8856,240,220748,thing,Carcassonne,2,5,45,45,30,2000,"2,3,4,5",2,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Carcassonne: 20th Anniversary Edition,329954,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,85848863,6.85796,8.02709,1.8588,0,9268,thing,Carcassonne: 20th Anniversary Edition,2,5,35,35,35,2021,"2,3,4","2,3",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Cardcassonne,58798,6,0,0,0,0,0,0,0,1,0,0,3,,,,,,72634428,5.7807,6.30526,1.7368,4968,2760,thing,Cardcassonne,2,5,45,45,30,2009,"3,4,5",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Carnegie,310873,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,79108711,7.52371,7.96476,3.812,124,16126,thing,Carnegie,1,4,120,120,90,2022,"1,2,3,4",4,14+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Carnival,322223,0,1,0,0,0,0,0,0,1,0,0,3,,,,,,135757375,0,6.91964,1,0,68,thing,Carnival,2,6,30,30,30,2023,"4,5,6","5,6",,,,,,,,standalone,,,,,,,,,,,,,,,
Carnival of Monsters,231484,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,126316004,6.43736,7.2193,2.1591,1473,5512,thing,Carnival of Monsters,2,5,45,45,45,2019,"3,4,5",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Carpe Diem,245934,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,74097008,7.05302,7.49687,2.5345,438,13838,thing,Carpe Diem,2,4,75,75,45,2018,"2,3,4",3,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Cartographers,263918,8,0,0,1,0,0,0,0,0,0,0,3,,,,,,73090448,7.39316,7.55848,1.891,180,61522,thing,Cartographers,1,100,45,45,30,2019,"1,2,3,4,5,6,7,8","3,4",8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Cartographers Heroes,315767,8,0,0,1,0,0,0,0,0,0,0,1,,,,,,87505608,7.04129,7.71166,1.9722,448,16198,thing,Cartographers Heroes,1,100,45,45,30,2021,"1,2,3,4,5,6,7,8,9,10","3,4",10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Cartographers Heroes: Collector's Edition,322045,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,87505604,6.16541,8.10723,2,0,3043,thing,Cartographers Heroes: Collector's Edition,1,100,45,45,30,2021,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31",4,8+,,,,,,,standalone,,,,,,,,,,,,,,,
Cartographers: Ambush Mini Expansion,302884,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,74097196,5.96369,7.75879,1.75,0,3992,thing,Cartographers: Ambush Mini Expansion,1,100,45,45,30,2020,"1,2,3,4,5,6,7,8","2,4",8+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,,,,,,,,,,,
Cartographers: Skills Mini Expansion,273353,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,87505613,6.05174,7.50787,2,0,5801,thing,Cartographers: Skills Mini Expansion,1,100,45,45,30,2019,"1,2,3,4,5,6","3,4",10+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,,,,,,,,,,,
Cartouche,342006,0,1,0,1,0,0,0,0,0,0,0,3,,,,,,108119840,5.558,7.26414,2,12227,203,thing,Cartouche,1,4,80,80,20,2023,"2,3,4","3,4",12+,,,,,,,standalone,,,,,,,,,,,,,,,
Cartouche,342006,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,115344240,5.558,7.26414,2,12227,203,thing,Cartouche,1,4,80,80,20,2023,"2,3,4","3,4",12+,,,,,,,standalone,,,,,,,,,,,,,,,
Cascadero,401216,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,128178918,6.29301,7.28014,2.5909,1868,2968,thing,Cascadero,2,4,60,60,45,2024,"2,3,4","3,4",10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Cascadia,295947,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86253273,7.74076,7.89647,1.843,59,90222,thing,Cascadia,1,4,45,45,30,2021,"1,2,3,4","2,3",8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Cascadia: Kickstarter Promo Cards,343277,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126314387,6.06025,7.73021,1.9,0,5259,thing,Cascadia: Kickstarter Promo Cards,1,4,45,45,30,2021,"1,2,3,4","2,3",6+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,,,,,,,,,,,
Cascadia: Landmarks,385318,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,115343641,6.79922,7.75031,2.2436,0,16852,thing,Cascadia: Landmarks,1,6,45,45,30,2023,"1,2,3,4,5,6",2,8+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,,,,,,,,,,,
Cascadia: Landmarks,385318,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,115344456,6.79922,7.75031,2.2436,0,16852,thing,Cascadia: Landmarks,1,6,45,45,30,2023,"1,2,3,4,5,6",2,8+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,,,,,,,,,,,
Cascadia: Landmarks ??Landmark Scoring Mini-Expansion,424016,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126314391,5.55964,7.78676,2,0,810,thing,Cascadia: Landmarks ??Landmark Scoring Mini-Expansion,1,6,45,45,30,2024,"1,2,3,4,5,6","1,2,3,4",,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,,,,,,,,,,,
Cascadito,401217,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,128178937,5.67145,6.49357,1.8,6871,1394,thing,Cascadito,1,4,45,45,30,2024,"1,2,3,4","2,3",12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Cask & Capital,460457,0,1,0,0,0,0,0,0,1,0,0,3,,,,,,140233563,0,0,0,0,7,thing,Cask & Capital,3,5,60,60,40,2025,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Castell,238638,6,0,0,0,0,0,0,0,1,0,0,3,,,,,,72616950,6.41132,7.38104,3.1489,1541,2910,thing,Castell,2,4,90,90,60,2018,"2,3,4",3,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Castellans,379363,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,128174593,5.68272,7.71432,3,6615,668,thing,Castellans,1,5,120,120,60,2024,"1,2,3,4,5","4,5",,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Caster,319414,0,1,0,1,0,0,0,0,0,0,0,3,,,,,,133920258,0,6.26316,2,0,47,thing,Caster,3,5,30,30,30,2020,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Castle Builder,427887,0,1,0,0,0,0,0,0,1,0,0,3,,,,,,134484494,5.60143,6.54679,1.5556,9210,473,thing,Castle Builder,2,4,60,60,45,2024,"2,4",4,6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Castles by the Sea,357841,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,115344086,5.70357,6.87722,2.1538,6164,1272,thing,Castles by the Sea,1,4,60,60,30,2023,"1,2,3,4","2,3",10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
The Castles of Burgundy,271320,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,72613508,8.00116,8.45047,2.914,0,29615,thing,The Castles of Burgundy,1,4,120,120,70,2019,"1,2,3,4",2,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
The Castles of Burgundy,84876,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,126314253,8.02854,8.15822,2.9737,15,83387,thing,The Castles of Burgundy,2,4,90,90,30,2011,"2,3,4",2,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
